Address	Length	Type	String
.rodata:000000000009E591	0000003A	C	JFIF extension marker: palette thumbnail image, length %u
.rodata:000000000009E5CB	0000000D	C	foo_game_ipc
.rodata:000000000009E5D8	00000008	C	init ct
.rodata:000000000009E5E0	00000008	C	monitor
.rodata:000000000009E5E8	0000000D	C	enable_cache
.rodata:000000000009E5F5	00000009	C	id=%d|%s
.rodata:000000000009E5FE	00000017	C	/data/user/10/%s/files
.rodata:000000000009E615	00000006	C	=\"%d\"
.rodata:000000000009E61B	00000022	C	user_info->app_id_.app_id_str_:%s
.rodata:000000000009E63D	0000001B	C	%s failed to release mutex
.rodata:000000000009E658	00000011	C	7hjw{7=|7{u|tqv}
.rodata:000000000009E669	0000001C	C	01Tyv|jwq|7yhh7Yhhtq{ylqwv#
.rodata:000000000009E686	00000007	C	}lHy{sy
.rodata:000000000009E68E	00000006	C	}Vyu}
.rodata:000000000009E694	0000000A	C	%s;crc:%s
.rodata:000000000009E69E	0000000C	C	ms_fc_start
.rodata:000000000009E6AA	00000029	C	mrpcs_download_data_thread_start_failed!
.rodata:000000000009E6D3	0000000A	C	mrmoni_fb
.rodata:000000000009E6DD	0000000A	C	%s:%d: %s
.rodata:000000000009E6EC	0000000B	C	__float128
.rodata:000000000009E6F7	0000000F	C	decltype(auto)
.rodata:000000000009E706	0000000B	C	 imaginary
.rodata:000000000009E711	00000014	C	libunwind: %s - %s\n
.rodata:000000000009E725	00000030	C	DW_EH_PE_funcrel pointer encoding not supported
.rodata:000000000009E75D	00000006	C	!cuts
.rodata:000000000009E7D3	0000000A	C	amgqp?#c\b
.rodata:000000000009E85F	0000000B	C	_`nfvq<\"{\t
.rodata:000000000009E8A9	0000000D	C	standalone=\"
.rodata:000000000009E8BB	0000001A	C	invalid bit length repeat
.rodata:000000000009E8DE	00000007	C	%s.tmp
.rodata:000000000009E8E5	00000015	C	Bogus DAC value 0x%x
.rodata:000000000009E8FA	00000028	C	        %4u %4u %4u %4u %4u %4u %4u %4u
.rodata:000000000009E922	0000003A	C	Start Of Frame 0x%02x: width=%u, height=%u, components=%d
.rodata:000000000009E95C	0000002E	C	Warning: unknown JFIF revision number %d.%02d
.rodata:000000000009E98A	00000009	C	TotalMem
.rodata:000000000009E993	0000000B	C	tdm_report
.rodata:000000000009E9A1	0000000A	C	127.0.0.1
.rodata:000000000009E9AB	0000001C	C	user_info->uin_.uin_int_:%d
.rodata:000000000009E9C7	00000018	C	user_info->world_id_:%d
.rodata:000000000009E9E2	00000008	C	uwvwGquy
.rodata:000000000009E9EB	00000008	C	}G{twk}
.rodata:000000000009E9F3	00000008	C	__ff_%d
.rodata:000000000009E9FB	00000016	C	{mjj}vlY{lqnqlaLpj}y|
.rodata:000000000009EA11	0000000C	C	nsUyhU}uwja
.rodata:000000000009EA22	0000000A	C	typename 
.rodata:000000000009EA2C	00000016	C	getSavedFloatRegister
.rodata:000000000009EA46	0000000F	C	ilc_close_pipe
.rodata:000000000009EA5F	00000006	C	!apnp
.rodata:000000000009EC0A	0000000C	C	apk_path=%s
.rodata:000000000009EC16	0000000C	C	debugger=%s
.rodata:000000000009EC3E	0000000A	C	<!--%s-->
.rodata:000000000009EC48	00000009	C	encoding
.rodata:000000000009EC51	0000001D	C	oversubscribed distance tree
.rodata:000000000009EC6E	00000015	C	Read from EMS failed
.rodata:000000000009EC83	0000002E	C	Cannot quantize more than %d color components
.rodata:000000000009ECB1	00000027	C	Cannot quantize to more than %d colors
.rodata:000000000009ECD8	0000001C	C	Define Huffman Table 0x%02x
.rodata:000000000009ECF4	00000023	C	Quantizing to %d = %d*%d*%d colors
.rodata:000000000009ED17	00000025	C	At marker 0x%02x, recovery action %d
.rodata:000000000009ED3C	00000039	C	Smoothing not supported with nonstandard sampling ratios
